N,churn_rate,batch_index,fr_elapsed_ms,icc_elapsed_ms,speedup_ratio,efficiency_pct,n_affected,n_nodes,n_edges,n_batches_used,is_reduced_batch_count
50000,0.1,0,200614.7927000129,855553.1448999827,0.2344854833342533,-326.46563266115896,49904,50000,112354,15,False
50000,0.1,1,167814.36029999168,806928.6873999808,0.2079667793701935,-380.84602888422825,49934,50000,119095,15,False
50000,0.1,2,172072.31849999516,826831.1933000223,0.208110579153679,-380.5137749684273,49946,50000,126240,15,False
50000,0.1,3,177118.20890000672,928938.2511999866,0.1906673653186403,-424.47360266861375,49970,50000,133814,15,False
50000,0.1,4,207522.55970000988,834562.704800017,0.2486602366801638,-302.15517098788814,49980,50000,141841,15,False
50000,0.1,5,191142.63690001096,1178592.3888999969,0.1621787470377338,-516.6036045199756,49984,50000,150351,15,False
50000,0.1,6,225282.4784000113,928135.2565000124,0.2427259139465825,-311.98732502046454,49995,50000,159372,15,False
50000,0.1,7,255933.60940000275,980699.6649999928,0.2609704260478203,-283.185181226918,49992,50000,168933,15,False
50000,0.1,8,228946.76039999467,865176.0625999887,0.2646244739041601,-277.89399644198187,49999,50000,179068,15,False
50000,0.1,9,243541.09330000935,994381.5393999976,0.2449171506612645,-308.30133671735445,49999,50000,189810,15,False
50000,0.1,10,239940.16389999888,861533.9242000191,0.2785034427086505,-259.061988704436,50000,50000,201197,15,False
50000,0.1,11,236915.4055000108,877587.6626000099,0.2699620967757303,-270.4223711192854,50000,50000,213268,15,False
50000,0.1,12,253106.8981999997,879499.2148999881,0.2877852463220011,-247.48132949147305,50000,50000,226062,15,False
50000,0.1,13,257063.37300001175,890318.6439000128,0.2887318767963274,-246.3420842532756,50000,50000,239624,15,False
50000,0.1,14,275164.4350000133,897153.8430000073,0.3067081940817268,-226.04280527749304,50000,50000,254000,15,False
